die,Alufolie {f} [kurz für Aluminiumfolie],aluminyum folyo,noun,,f
die,Ambition {f},ihtiras,noun,,f
die,Ambulanz {f},poliklinik,noun,[med.],f
der,Ameisenbär {m},karınca ayısı,noun,[zool.] [T],m
die,Ameise {f},karınca,noun,[entom.] [T],f
der,Amensalismus {m},amensalizm,noun,[biol.] [ecol.],m
das,Americium {n} <Am>,amerikyum <Am>,noun,[chem.],n
die,Amerikanerin {f},Amerikalı [kadın],noun,[ethn.],f
die,Amerikanerin {f},Amerikan [kadın],noun,[ethn.],f
der,Amerikaner {m},Amerikalı,noun,[ethn.],m
der,Amerikaner {m},Amerikan,noun,[ethn.],m
der,Amethyst {m},ametist,noun,[geol.],m
das,Aminophyllin {n},aminofilin [C16H24N10O4],noun,[pharm.],n
die,Aminosäure {f},amino asit,noun,[biochem.],f
das,Amitriptylin {n},amitriptilin [C20H23N],noun,[pharm.],n
das,Ammoniumchlorid {n},amonyum klorür [NH4Cl],noun,[chem.],n
die,Amnesie {f},amnezi,noun,[med.],f
die,Amnesie {f},hafıza kaybı,noun,[med.],f
die,Amnestie {f},af,noun,,f
die,Amortisation {f},amortisman,noun,[fin.],f
die,Ampel {f} [Verkehrsampel],trafik lambası,noun,,f
das,Amperemeter {n},ampermetre,noun,[tech.],n
das,Ampere {n},amper,noun,[tech.],n
das,Amphitheater {n},amfi,noun,,n
die,Amphitrite {f},Amphitrite,noun,[myth.],f
die,Amputation {f},ampütasyon,noun,[med.],f
die,Amsel {f},karatavuk,noun,[orn.] [T],f
das,Amsterdam {n},Amsterdam,noun,[geogr.],n
das,Amulett {n},muska,noun,,n
der,Anachronismus {m} [geh.],anakronizm,noun,,m
das,Anagramm {n},anagram,noun,[ling.],n
das,Anagramm {n},evirmece,noun,[ling.],n
der,Analphabet {m},okuryazar olmayan / okur yazar olmayan,noun,,m
die,Analyse {f},analiz,noun,,f
die,Analyse {f},çözümleme,noun,,f
die,Analysis {f},matematiksel analiz,noun,[math.],f
der,Analytiker {m},çözümleyici,noun,,m
die,analytische Chemie {f},analitik kimya,noun,[chem.],f
die,analytische Geometrie {f},analitik geometri,noun,[math.],f
die,analytische Philosophie {f},analitik felsefe,noun,[philos.],f
die,Ananas {f},ananas,noun,[gastr.],f
die,Anaphylaxie {f},anafilaksi,noun,[med.],f
der,Anarchismus {m},anarşizm,noun,[philos.] [pol.] [sociol.],m
das,Anatolien {n},Anadolu,noun,[geogr.],n
die,Anatomie {f},anatomi,noun,[anat.] [acad.],f
die,Anbindung {f},bağlantı [yapısal],noun,[tech.],f
der,Anblick {m},manzara,noun,,m
die,Anchovis {f},hamsi [Engraulis encrasicolus],noun,[fish] [T],f
der,Andenkondor {m},And kondoru [Vultur gryphus],noun,[orn.] [T],m
der,Andentapir {m},dağ tapiri [Tapirus pinchaque],noun,[zool.] [T],m
"die, pl",Anden {pl},And Dağları,noun,[geogr.],pl
die,Andorranerin {f},Andorralı [kadın],noun,[ethn.],f
der,Andorraner {m},Andorralı,noun,[ethn.],m
die,Andrologie {f},androloji,noun,[acad.] [med.],f
die,Andromeda {f},Andromeda,noun,[myth.],f
die,Anekdote {f},fıkra [latife],noun,,f
der,Anfall {m},kriz,noun,,m
der,Anfang {m},başlangıç,noun,,m
der,Anfang {m},bidayet [osm.],noun,,m
die,Anfrage {f},müracaat,noun,[admin.],f
die,Anfrage {f},sual,noun,,f
der,Anfänger {m},acemi,noun,,m
der,Anfänger {m},tecrübesiz,noun,,m
der,Anfänger {m},yeni başlayan,noun,,m
der,Anführer {m},komutan,noun,[mil.],m
das,Anführungszeichen {n},tırnak işareti,noun,[ling.],n
die,Angabe {f},veri,noun,[tech.],f
die,Angeberei {f},caka [argo],noun,,f
die,Angeberei {f},fiyaka,noun,,f
die,Angeberei {f},gösteriş,noun,,f
der,Angeber {m},palavracı,noun,,m
,Angebot und Nachfrage,arz (ve) talep,noun,[econ.] [comm.],
das,Angebot {n},teklif,noun,,n
der,Angehöriger {m},akraba,noun,,m
der,Angehöriger {m},hısım,noun,,m
die,Angehörige {f},akraba [kadın],noun,,f
die,Angehörige {f},hısım [kadın],noun,,f
der,Angeklagter {m},davalı,noun,[law],m
der,Angeklagter {m},sanık,noun,[law],m
die,Angeklagte {f},davalı [kadın],noun,[law],f
die,Angeklagte {f},sanık [kadın],noun,[law],f
die,Angelegenheit {f},iş,noun,,f
die,Angelegenheit {f},mesele,noun,,f
die,Angelegenheit {f},olay,noun,,f
das,Angelfischen {n},olta avı,noun,,n
die,Angelfischerei {f},olta avı,noun,,f
das,Angelgerät {n},olta takımı,noun,,n
der,Angelhaken {m},balık iğnesi,noun,,m
der,Angelhaken {m},olta iğnesi,noun,,m
die,Angelrute {f},olta,noun,,f
die,Angel {f} [Angelrute],olta,noun,,f
die,Angel {f} [Tür- oder Fensterangel],menteşe,noun,,f
der,Angestellter {m},memur,noun,,m
die,Angewohnheit {f},alışkanlık,noun,,f
die,Angina {f},anjin,noun,[med.],f
die,Angiografie {f},anjiyografi,noun,[MedTech.],f
die,Angiologie {f},anjiyoloji,noun,[acad.] [med.],f
das,Angola {n},Angola,noun,[geogr.],n
das,Angora [veraltet] {n},Ankara,noun,[geogr.],n
der,Angriffshubschrauber {m},saldırı helikopteri,noun,[aviat.] [mil.],m
der,Angriffshubschrauber {m},taarruz helikopteri,noun,[aviat.] [mil.],m
der,Angriff {m},saldırı,noun,,m
der,Angsthase {m},yüreksiz,noun,,m
die,Angst {f},korku,noun,,f
das,Anguilla {n},Anguilla,noun,[geogr.],n
der,Anhaltspunkt {m},ipucu,noun,,m
der,Anhang {m},zeyil [eski],noun,,m
der,Anhänger {m} [Lkw etc.],römork,noun,[traffic],m
der,Anhänger {m} [Schmuck],pandantif,noun,,m
die,Anhäufung {f},birikim,noun,,f
die,Anhäufung {f},birikme,noun,,f
die,Anhäufung {f},küme,noun,,f
die,Anhäufung {f},toplanma,noun,,f
die,Anhäufung {f},yığılma,noun,,f
die,Anhäufung {f},yığın,noun,,f
der,Anis {m},anason,noun,[bot.] [T],m
das,Ankara {n},Ankara,noun,[geogr.],n
die,Anklageschrift {f},iddianame,noun,[law],f
die,Anklage {f},itham,noun,[law],f
die,Anklage {f},suçlama,noun,[law],f
die,Ankunft {f} <Ank.>,geliş,noun,,f
die,Ankunft {f} <Ank.>,varış,noun,,f
die,Ankündigung {f},bildiri,noun,,f
die,Ankündigung {f},duyuru,noun,,f
die,Ankündigung {f},tebliğ,noun,,f
das,Anlagevermögen {n},duran varlıklar {pl},noun,[fin.] [acc.],n
"die, pl",Anlagevermögen {pl},cari olmayan varlıklar,noun,[fin.] [acc.],pl
"die, pl",Anlagevermögen {pl},duran varlıklar,noun,[fin.] [acc.],pl
die,Anlage {f},yatırım,noun,[fin.],f
die,Anlage {f} [Einrichtung],tesis,noun,,f
der,Anlass {m},neden,noun,,m
der,Anlass {m},sebep,noun,,m
der,Anlass {m},vesile,noun,,m
das,Anlegen {n},aborda,noun,[naut.],n
die,"Anleitung {f} [Anweisung, Instruktion]",talimat,noun,,f
das,Anliegen {n},dilek,noun,,n
der,Anmelder {m} [Zoll],yükümlü,noun,,m
die,Anmeldung {f},kayıt,noun,,f
die,Anmeldung {f},müracaat,noun,,f
,anmerken,not etmek,noun,,
die,Anmut {f},işve,noun,,f
die,Annahme {f},farz,noun,,f
die,Annahme {f},hipotez,noun,[math.],f
die,Annahme {f},kabul,noun,[math.],f
die,Annahme {f},varsayım,noun,,f
die,Annahme {f},önkabul,noun,,f
die,Annehmlichkeit {f},keyif,noun,,f
die,Annehmlichkeit {f},rahatlık,noun,,f
die,Annullierung {f},iptal,noun,,f
die,Anomalie {f},ayrıklık,noun,[phys.],f
die,Anordnung {f},düzen,noun,,f
die,Anordnung {f} [Arrangement],düzenleme,noun,,f
die,Anordnung {f} [Arrangement],nizam,noun,,f
die,Anordnung {f} [Arrangement],sıra,noun,,f
die,Anordnung {f} [Arrangement],tanzim,noun,,f
die,Anordnung {f} [Arrangement],tertip,noun,,f
die,Anordnung {f} [Gruppierung],tasnif,noun,,f
die,Anordnung {f} [Weisung],emir,noun,,f
die,Anordnung {f} [Weisung],talimat,noun,,f
die,Anorexie {f},iştahsızlık,noun,[med.],f
die,Anpassung {f},intibak,noun,,f
die,Anpassung {f},uyum,noun,,f
die,Anregung {f},tavsiye,noun,,f
die,Anregung {f},teklif,noun,,f
die,Anregung {f},teşvik,noun,,f
die,Anregung {f},öneri,noun,,f
das,Ansaugventil {n},emiş valfi,noun,[tech.],n
die,Anschauung {f},telakki,noun,,f
der,Anschluss {m},bağlantı,noun,,m
die,Anschuldigung {f},itham,noun,,f
das,Ansehen {n},fors,noun,,n
das,Ansehen {n},itibar,noun,,n
das,Ansehen {n},ün,noun,,n
die,Ansicht {f},manzara,noun,,f
die,Ansicht {f} [Meinung],bakış açısı,noun,,f
die,Ansicht {f} [Meinung],görüş,noun,,f
die,Ansicht {f} [Standpunkt],görüş açısı,noun,,f
die,Anspielung {f},ima,noun,,f
die,Ansprache {f},demeç,noun,,f
der,Anspruch {m},talep,noun,,m
die,"Anstalt {f} [Betrieb, Institut]",kuruluş,noun,,f
der,Anstand {m},edep,noun,,m
der,Anstand {m},görgü,noun,,m
